rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
176,shahidkapoor,82.0,,,,,,,
177,tigerjackieshroff,83.0,,,,,,,India
178,kimberly.loaiza,78.0,,,,,,,Mexico
179,barackobama,81.0,,,,,,,United States
180,sachintendulkar,76.0,,,,,,,
181,simonemendes,72.0,,,,,,,Brazil
182,ivetesangalo,84.0,,,,,,,Brazil
183,lunamaya,83.0,,,,,,,
184,toni.kr8s,83.0,,,,,,,
185,dannapaola,68.0,,,,,,,Mexico
186,paollaoliveirareal,84.0,,,,,,,
187,blakelively,80.0,,,,,0.0,,United States
188,adidasoriginals,83.0,,,,,,,
189,disney,77.0,,,,,,,United States
190,shaymitchell,83.0,,,,,,,United States
191,bmw,79.0,,,,,,,Germany
192,danbilzerian,84.0,,,,,,,Canada
193,khabib_nurmagomedov,63.0,,,,,,,Russia
194,zidane,41.0,,,,,,,France
195,sonamkapoor,75.0,,,,,,,India
196,iambeckyg,71.0,,,,,,,United States
197,nancyajram,81.0,,,,,,,France
198,luansantana,79.0,,,,,,,Brazil
199,nickjonas,78.0,,,,,,,United States
200,raisa6690,80.0,,,,,,,Indonesia
