rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,60_day_eng_rate_percent,influence_score_percent,avg_likes_per_post_calc
89,sunnyleone,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,84.0,
90,ladygaga,83.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,83.0,
91,dishapatani,74.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,74.0,
92,sergioramos,87.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,87.0,
93,jbalvin,87.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,87.0,
94,mosalah,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,22.0,
95,ayutingting92,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Indonesia,0.0,85.0,
96,433,79.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,0.0,79.0,
97,hudabeauty,82.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,82.0,
98,adele,84.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,84.0,
99,michelleobama,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
100,kritisanon,76.0,0.0,0.0,0.0,0.0,0.0,0.0,India,0.0,76.0,
101,jamesrodriguez10,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,0.0,86.0,
102,krisjenner,80.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,80.0,
103,thv,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
104,lelepons,81.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,81.0,
105,charlidamelio,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,80.0,
106,gucci,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Italy,0.0,86.0,
107,prillylatuconsina96,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Indonesia,0.0,84.0,
108,louisvuitton,82.0,0.0,0.0,0.0,0.0,0.0,0.0,France,0.0,82.0,
109,paulodybala,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
110,blackpinkofficial,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
111,dovecameron,85.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,85.0,
112,garethbale11,86.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,86.0,
113,jokowi,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
114,nusr_et,81.0,0.0,0.0,0.0,0.0,0.0,0.0,United Arab Emirates,0.0,81.0,
115,harrystyles,57.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,57.0,
116,haileybieber,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
117,vanessahudgens,84.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,84.0,
118,5-Minute Crafts GIRLY,85.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,85.0,
